accession,proteinClass
Q9UQ84,Enzyme
Q9NPD3,Enzyme
Q9NQT4,Enzyme
Q93063,Enzyme
Q92935,Enzyme
Q5T1H1,None
Q5T8I3,None
Q969W3,None
Q5XKR9,None
P0CH98,None
O95990,None
Q96PZ2,None
Q6SJ93,None
B1AL88,None
Q3B820,None
P00488,Enzyme
P05160,None
Q96GL9,None
P0C2L3,None
Q8N612,None
Q5W0V3,None
Q9NWS6,None
Q9BPY3,None
Q9H5Z6,None
A1A519,None
Q9BQD7,None
Q6UWF9,None
Q6P0A1,None
Q8N9Y4,None
A6NEQ2,None
Q5T1J6,None
Q5T319,None
A6NL82,None
Q8N128,None
Q8IXR5,None
Q17R55,None
O60320,None
Q15884,None
P78312,None
Q8N3H0,None
Q5JX71,None
Q5JX69,None
Q96ND0,None
Q9Y5M1,None
Q8WUB2,None
Q8N7L0,None
Q8IXS0,None
Q9NTX9,None
Q96MZ4,None
Q5XKK7,None
Q7Z4H9,None
B1ANY3,None
A4D161,None
A6H8Z2,None
Q5U5X8,None
Q8WU58,None
Q6P4D5,None
Q8IWN6,None
F5H4B4,None
Q9H0X4,None
A2RU67,None
P0DP71,None
A0A1B0GTK5,None
B9A014,None
P0DPQ4,None
P16118,Kinase
Q9BY44,None
Q96D98,None
Q8N6I1,None
P11161,TF
Q9NR50,None
Q99613,None
Q14241,None
Q9H5J4,None
Q96FG2,None
Q8WYP5,None
Q96C92,None
Q6UWV6,Enzyme
P49961,Enzyme
P59796,Enzyme
Q8TED1,Enzyme
Q14674,Enzyme
Q96BH3,None
O95571,Enzyme
Q9NVM1,None
P34910,None
Q96CN4,None
O60447,None
P28799,None
P09341,None
Q92817,None
O95267,None
Q2M3D2,None
Q17RC7,None
Q01780,None
Q8TAG9,None
Q9UPT5,None
Q16394,Enzyme
Q99504,None
Q4KMX7,None
Q1W6H9,None
P07492,None
Q6UXB0,None
Q9C073,None
Q9NZB2,None
A8MUP6,None
Q86V42,None
A6NMN3,None
Q96GI7,None
Q99880,None
Q9UI10,None
Q9NZN4,None
Q9NZN3,None
P55884,None
Q8NG57,Enzyme
Q15370,None
P19957,None
Q6IA86,None
Q15723,TF
Q12926,None
P78545,TF
P15502,None
Q9UBC2,None
Q16134,Enzyme
O00321,TF
Q6ZN32,TF
P14921,TF
P43268,TF
P41212,TF
Q9Y603,TF
Q8IXQ9,Enzyme
Q9H8M9,None
Q8TDF6,None
A0A1B0GW35,None
Q06265,Enzyme
Q8IYI6,None
Q5RKV6,Enzyme
Q99502,None
Q15024,Enzyme
Q8NEV8,None
Q92800,Epigenetic
Q15910,Epigenetic
Q5T9C2,None
Q8IXS8,None
Q96BN6,None
P0C0S5,None
Q8NCA5,None
P00740,Enzyme
Q7Z2G1,None
Q8WVX9,Enzyme
P68431,None
Q96CS3,None
Q5TZK3,None
Q8IZU1,None
Q9Y2M0,Enzyme
Q0D2K5,None
Q8NDI1,None
P00533,Kinase
Q9H223,None
O60739,None
Q9H9B1,Epigenetic
O00303,None
P26378,None
P0DMC3,None
A1L3X0,None
Q15369,None
P60002,None
Q96JJ3,None
Q14264,None
B1AK53,None
Q92731,NR
Q1W209,None
Q9H6T0,None
Q96DF8,None
Q86US8,Enzyme
P23141,Enzyme
O00748,Enzyme
A8MXD5,None
A6NFK2,None
A4D2P6,None
P41161,TF
Q5T7N8,None
Q08E93,None
Q6IPT2,None
Q8N5Q1,None
Q96KD3,None
Q6NXP2,None
A6NL05,None
A8MXJ8,None
A6NDY2,None
A8MX19,None
P0C7W8,None
P0C7W9,None
A6NEW6,None
A8MWA6,None
A8MXZ1,None
Q658Y4,None
P0C866,None
P00748,Enzyme
Q9NYF5,None
Q8NE31,None
Q96MK3,Enzyme
A6NFZ4,None
Q8TBR7,None
Q9Y421,None
P0C841,None
Q5VUD6,None
Q0P6D2,None
P48637,Enzyme
Q96KN4,None
Q8NFI4,None
Q9P2D6,None
Q96C01,None
A1KXE4,None
Q96A26,None
Q5TC63,None
Q05DH4,None
Q86V87,None
P09467,Enzyme
Q9NX05,None
Q5T036,None
Q6P995,None
Q8WUF8,None
A6NC97,None
Q5JQS6,None
A4D1B5,Enzyme
Q9NRJ2,None
Q6ZVS7,None
Q3ZCQ3,None
Q9ULE4,None
Q8N0U4,None
A6PVY3,None
A6NFU0,None
P81408,None
Q6UWH4,None
Q8TCP9,None
P0CF97,None
Q6PEV8,None
Q7Z5A9,None
Q7Z5A8,None
Q9NX38,None
Q9NSI2,None
Q5VWN6,None
Q7L5A3,None
P23610,None
Q86YD7,None
A6NKC0,None
Q16875,Kinase
Q16877,Enzyme
Q8NDB6,None
Q14320,None
Q9Y247,None
Q6NSI3,None
Q8IXL6,Enzyme
Q9NYF3,None
Q8N5W8,None
Q7L5A8,Enzyme
Q8N2R8,None
Q6ZT52,None
Q5T7M9,None
Q6NSW5,None
Q5JRC9,None
Q8NA70,None
Q5HY64,None
A6NHR8,None
Q6ZV65,None
O15540,None
Q17RN3,None
O60814,None
Q96PS1,None
P57053,None
Q13158,None
Q8N9I5,Enzyme
O60427,Enzyme
Q96GK7,Enzyme
Q96BQ1,None
Q9NVQ4,None
O60667,None
Q05397,Kinase
P58499,None
Q92520,None
Q9Y4F1,None
Q14CZ7,Enzyme
O15287,None
P16422,None
P29320,Kinase
P56851,None
A6NDY0,None
Q7L775,None
Q9Y2D4,None
Q8NHP7,Enzyme
Q9NV70,None
O60645,None
O00471,None
Q9NQT5,None
Q86XD5,None
Q96AQ9,None
Q8N9E0,None
Q6UXP7,None
P0C7A2,None
Q70Z53,None
Q9BQ89,None
Q49AJ0,None
A8MTA8,None
P0CG43,None
Q96KS9,None
Q9BTA0,None
Q92567,None
Q96MY7,None
Q12849,None
Q8N8A8,None
Q5T6X4,None
A5PLN7,None
Q6J272,None
Q9BQ67,None
Q96E09,None
Q7Z309,None
Q9NVL1,Enzyme
Q9UK99,None
Q96EF6,None
P22087,Enzyme
Q9UKA1,None
Q6PIJ6,None
P31994,None
Q86XK2,None
P12104,None
P07148,None
P33778,None
Q9BXW9,None
O75844,Enzyme
Q16695,None
Q9UNN5,None
Q6P587,Enzyme
Q7L8L6,Enzyme
Q8IZU0,None
Q9BTP7,None
P62805,None
Q969F0,None
Q8TES7,None
O95967,None
Q8TB52,None
Q969P5,None
Q9HAV7,None
Q8TAA5,None
P0C7U9,None
P16930,Enzyme
O95864,Enzyme
Q9Y5Q0,Enzyme
Q8TC84,None
Q6V0I7,None
Q00597,None
Q8WWV6,None
Q9UKA2,None
Q8TCJ0,None
Q12805,None
Q5FWF7,None
Q01362,None
P31995,None
Q96LA5,None
Q7L513,None
P35556,None
P04080,None
Q8IZN7,None
A8MPP1,Enzyme
A0A096LNP1,None
Q86T65,None
P98082,None
Q96EP5,None
Q9UER7,None
Q10586,TF
O43237,None
P28907,Enzyme
Q96FF9,None
Q9BYE9,None
A6H8M9,None
P55273,Enzyme
O43866,None
Q16667,Enzyme
Q9BWV3,Enzyme
O60308,None
Q9Y232,Epigenetic
P42771,Enzyme
P17676,TF
Q569G3,None
D6REC4,None
Q15782,Enzyme
P10809,None
O14647,Epigenetic
O43745,None
Q96BS2,None
Q8IYX4,None
Q9UF47,None
Q8N7S2,None
P31689,None
O60884,None
P25686,None
Q8WWF6,None
Q9UDY4,None
O75953,None
O75190,None
Q7Z6W7,None
Q8NHS0,None
Q9UBS3,None
Q96KC8,TF
Q99543,TF
Q13217,None
Q9NNZ3,None
Q9H3Z4,None
Q99615,None
O75937,None
Q8WXX5,None
Q8IYA6,None
P18858,Enzyme
P49916,Enzyme
P33552,Enzyme
P49917,Enzyme
Q08477,Enzyme
Q9BSJ5,None
Q0VDD5,None
Q96MF6,None
Q8N123,None
Q9P2I0,None
Q8TCD1,None
Q2VPA4,None
Q8N9M1,None
Q5BKX5,None
Q0VDD7,None
A6NCJ1,None
P61201,None
Q9UNS2,None
Q8WXC6,None
Q9H9Q2,None
O14682,None
Q9H8E8,None
Q96S65,None
Q05048,None
P33240,None
Q9H0L4,None
Q9BR46,None
Q9H1P6,None
Q9NUD7,None
Q9BQT9,None
Q96C57,None
P0C5K6,None
Q9H4R4,None
Q8N268,None
Q9P2B4,None
P0DMV2,None
P0DMU8,None
P0DMU7,None
Q8WUE5,None
P0C5K7,None
Q8WYA6,None
P0CG12,None
P0CG13,None
Q96CG8,None
Q8IX94,None
O15194,Enzyme
O60931,None
Q9UI47,None
P0CG41,None
Q6PD62,Enzyme
P17538,Enzyme
Q6GPI1,Enzyme
O14578,Kinase
Q8TC29,None
Q6NT55,None
Q8NEP4,None
P08686,Enzyme
Q70SY1,TF
P26998,None
Q92523,Enzyme
O75177,None
P07315,None
P07320,None
Q00013,None
Q13324,GPCR
P06850,None
P46108,None
Q13536,None
Q5UCC4,None
Q53ET0,None
P02511,None
Q8N766,None
Q9Y534,TF
Q5T4H9,None
Q9P1W3,IC
P07333,Kinase
A4GXA9,Enzyme
P19784,Kinase
Q9BXX0,None
A8MUP2,Enzyme
P54851,None
Q4G0I0,None
O43739,None
Q5D0E6,None
P08174,None
Q8N3J3,None
Q9BZP3,None
Q96KH6,None
Q32NC0,None
P20853,None
Q16696,None
Q16850,Enzyme
Q9UKF6,None
Q8WVH0,None
P13584,None
Q8N1P7,None
Q9BU40,None
Q6UXH1,None
Q53HC9,None
Q03060,TF
Q8WXF5,None
O95834,None
Q32P44,None
Q9HC35,None
Q05BV3,None
Q6ZMW3,None
Q5T6L9,None
Q9H175,None
Q8WYN3,None
P21291,None
Q16527,None
P50461,None
O94919,Enzyme
Q9H114,None
Q9H112,None
Q9H4D0,None
O60676,None
Q9BQM9,None
Q96LM9,None
Q9UGB4,None
Q5TEA3,None
A1L168,None
Q5HYN5,None
Q8NHU0,None
P0DMV0,None
Q13363,None
O75638,None
Q8NI51,TF
P78358,None
O15320,None
Q9BRF8,Enzyme
Q96MU5,None
P98187,None
Q16630,None
Q9UBL6,None
Q96B23,None
J3KSC0,None
Q6ZTR6,None
A6NJJ6,None
Q9H4I9,None
Q13098,None
Q7Z589,None
Q6UVK1,None
Q1MSJ5,None
Q12996,None
P21128,Enzyme
Q9NUB4,None
Q8NBC4,None
A0A1B0GTL2,None
Q5DJT8,None
P0DMU9,None
Q5JQC4,None
P0C2W7,None
P0DMV1,None
P56545,None
Q2NKJ3,None
P49711,TF
Q9Y5B0,Enzyme
Q9GZU7,Enzyme
O14595,Enzyme
P16410,None
Q16619,None
Q8IWA5,Transporter
Q86UF2,None
P35222,None
Q14999,None
Q13617,None
A2RUQ5,None
Q6ZR85,None
O75131,None
Q6ZWL3,None
Q8N118,None
Q8N1L4,None
Q9BV73,None
Q15438,None
Q99418,None
Q5VT40,None
Q9BWK5,None
Q717R9,None
Q9H4H8,None
Q8NEG4,None
O76096,None
O60759,None
Q6ZN68,Enzyme
Q8NET1,None
Q8N465,Enzyme
P0C864,None
Q9P219,None
Q8NA75,None
A6NGE4,None
Q9BTE1,None
Q96SD1,None
Q5HYJ3,None
P08709,Enzyme
O00622,None
A6ND36,None
Q6ZRV2,None
Q8NG35,None
Q96NX9,None
P61803,Enzyme
Q6ZRR9,None
A2VCK2,None
P01037,None
P28325,None
Q6ZPD9,Enzyme
Q96J86,None
Q8NEP3,None
P0DP74,None
Q5VWQ8,None
O43293,Kinase
Q9BQY9,None
Q9UJU6,None
Q30KP9,None
Q96JK2,None
A6NMT0,TF
Q5VW00,None
O14576,None
Q9Y6G9,None
Q5H9S7,None
O95822,Enzyme
P10606,Enzyme
Q9NR63,None
Q99829,None
Q9BZB8,None
F2Z3M2,None
Q7Z449,None
Q96FQ7,None
Q9UJA2,Enzyme
Q9UIA0,None
Q6ZMK1,None
P35663,None
Q14093,None
Q7L576,None
Q96LP2,None
P01040,None
A6NH13,None
Q92904,None
Q30KQ5,None
P22676,None
Q13939,None
Q96L12,None
P35218,Enzyme
Q9Y6W3,None
O75808,None
Q96LZ3,None
P40121,None
Q9BWT7,Enzyme
Q8WWF8,None
Q96LW7,Enzyme
Q68DN1,None
P55211,Enzyme
P56202,Enzyme
Q9UBR2,Enzyme
Q6NZI2,Enzyme
O95810,None
Q8IVU9,None
Q6P9G0,None
Q9UI42,Enzyme
P16870,Enzyme
Q8N7E2,Enzyme
P15169,Enzyme
Q9UPW5,Enzyme
Q13185,Epigenetic
Q8NHW4,None
Q494R4,None
Q9H6E4,None
Q9H0I3,None
O75976,Enzyme
Q8NCU4,None
Q8IWD4,None
Q9NVL8,None
A6NC98,None
Q9UNH5,Enzyme
Q92793,Epigenetic
Q6ZUJ4,None
Q5VVM6,None
A2RUB6,None
Q8NEL0,None
Q2TAC2,None
P24864,None
P14635,None
Q16589,None
Q8ND76,None
P80075,None
O00585,None
P41597,GPCR
P0DP24,None
Q05682,None
P47756,None
Q9NXV6,None
Q9NQ75,None
Q8NEF3,None
O95503,Epigenetic
Q8N9Z2,None
A0A1B0GUA6,None
A6NKD9,None
Q9BRT8,None
Q8N5N4,None
Q86WR0,None
Q9Y6R9,None
Q8N5R6,None
Q96HJ3,None
A6NI79,None
P13500,None
P32320,Enzyme
Q99618,None
P19397,None
P50750,Kinase
Q8IWY9,None
Q00536,Kinase
Q9H211,None
Q5SW79,None
A4QMS7,None
Q8N7Q2,None
Q96GS4,None
Q12982,None
Q7L3V2,None
Q7Z465,None
P22004,None
Q8WVV5,None
C9JJ37,None
O60885,Epigenetic
P20290,None
Q9BXI9,None
Q9NRR3,None
P02746,None
Q8NDD1,None
P57796,None
Q9H7X2,None
O95180,IC
O00555,IC
O75309,None
Q5T440,Enzyme
P55286,None
P06881,None
P55210,Enzyme
Q9BX69,Enzyme
P51878,Enzyme
P07711,Enzyme
P25774,Enzyme
O60911,Enzyme
Q6ZSB3,None
Q08AI8,None
Q6UXQ4,None
Q2NKX9,None
Q92851,Enzyme
Q8N350,None
Q0P641,None
P51636,None
Q96IY4,Enzyme
Q9NTU7,None
Q8IVL8,Enzyme
P22681,Enzyme
Q86Z20,None
Q5BJE1,None
Q8IYK2,None
Q9P1Z9,None
P13994,None
Q5T5S1,None
A0ZSE6,None
Q8IX12,None
Q502W7,None
Q53HC0,None
Q6ZUT6,None
Q76M96,None
Q9Y698,IC
Q8N4S0,None
Q86UT8,None
P32238,GPCR
P51946,None
Q14094,None
O95067,None
Q5T5M9,None
P32248,GPCR
Q53FE4,None
P15813,None
P86791,None
P21854,None
P11049,None
Q8IVW4,Kinase
Q5MAI5,Kinase
O76039,Kinase
Q99626,TF
O14519,Enzyme
O75956,Enzyme
Q9P2H0,None
Q5VV42,Enzyme
Q5TB80,None
Q52M75,None
P04040,Enzyme
Q96LR7,None
Q8N535,None
P31944,Enzyme
Q5BKX8,None
P08311,Enzyme
P23435,None
P15085,Enzyme
P15088,Enzyme
F5H4A9,None
H3BNL1,None
Q8NCX0,None
Q96BQ5,None
P0DN79,None
Q8N715,None
Q96M89,None
Q86UF4,None
Q8IYE0,None
Q9GZT6,None
O60729,Enzyme
P0CW27,None
P16152,Enzyme
O75828,Enzyme
Q8IVM0,None
Q49A88,None
Q5T9S5,None
Q9Y258,None
Q9NRJ3,None
Q9ULG6,None
Q92583,None
P80098,None
P78556,None
Q8IV13,None
P51679,GPCR
P55773,None
P29016,None
P21127,Kinase
P51677,GPCR
P09326,None
P48960,GPCR
P32970,None
P29965,None
P09564,None
Q5ZPR3,None
Q12834,None
P42081,None
P01732,None
Q8WTX7,None
Q8N4J0,Enzyme
P14091,Enzyme
Q03135,None
A6NJV1,None
A6NCI8,None
P31415,None
Q8WUQ7,None
P43235,Enzyme
Q8IUF1,None
Q6UW01,None
Q5RIA9,None
Q4V339,None
Q8NEM8,Enzyme
A0A1B0GTC6,None
P0DN24,None
Q96MI9,Enzyme
A5D8V7,None
Q4G0S7,None
Q5TID7,None
Q8TBZ0,None
A6NI87,None
Q9BUN5,None
Q5JPI3,None
Q8NDH2,None
Q0VFZ6,None
Q9BV29,None
Q9BQI4,None
Q7Z6B0,None
Q8WXS5,IC
Q9Y3X0,None
Q8WXS4,IC
Q8IWA6,None
Q06432,IC
O96020,None
Q16627,None
P13501,None
Q99731,None
P22362,None
Q9UK58,None
P10747,None
D6RIA3,None
P30279,None
Q8IX05,None
Q86Y33,None
Q15762,None
Q07108,None
P60953,Enzyme
Q16543,None
P49336,Kinase
P11802,Kinase
Q2M2E5,None
Q9H5L9,None
Q07002,Kinase
O95170,None
P42575,Enzyme
Q14790,Enzyme
Q96LS8,None
P0DPF6,None
P43234,Enzyme
P47755,None
Q13948,TF
A6NN90,None
O14958,None
P09668,Enzyme
Q8N4T0,Enzyme
P15086,Enzyme
Q5JTY5,None
P83916,Epigenetic
P48052,Enzyme
Q14781,Epigenetic
Q8NDL9,Enzyme
A6NI56,None
Q6PK04,None
Q8IYX3,None
P0DO97,None
A0A1B0GVG4,None
A6NNP5,None
Q9H6F5,None
Q9BXT2,IC
P06307,None
Q9Y4X3,None
Q96F63,None
Q9BR77,None
Q8IWF9,None
P41002,None
Q6ZMN8,None
P51684,GPCR
O00626,None
O00175,None
O75794,None
O00421,GPCR
A7E2U8,None
P08571,None
P51681,GPCR
Q6YHK3,None
P15812,None
O95400,None
Q8WVX3,None
P09693,None
Q8N6Q3,None
Q9NPF0,None
P20138,None
Q8NHZ8,Enzyme
P14209,None
P30260,None
Q9HCU0,None
O75419,None
Q96PB1,None
Q16568,None
A6NHX0,None
P52907,None
P53634,Enzyme
Q8N8R5,None
Q9H9S4,None
Q6ZRV3,None
P0CE67,None
A6NF36,None
Q96JN2,None
Q7Z3E2,None
Q96HB5,None
Q5T0U0,None
Q9HBI5,None
Q9UK00,None
Q8IWP9,None
Q6TFL3,None
Q9NVE4,None
Q8IYE1,None
O15444,None
Q4G0X9,None
P20248,None
Q16663,None
P55774,None
O75909,None
Q6IQ19,None
Q96KX1,None
Q96LM5,None
Q9H7U1,None
Q5BLP8,None
Q8N7R7,None
P48509,None
P30281,None
P20963,None
P01730,None
Q96M34,None
Q8N4L8,None
Q8IYT3,None
Q8TAB7,None
Q2M243,None
Q16204,None
Q8TC90,None
A2IDD5,None
Q9BSQ5,None
P51671,None
P22674,None
O60563,None
O15467,None
P51959,None
P32246,GPCR
P51685,GPCR
Q99440,None
Q8N1A6,None
Q5M9N0,None
A8MXV6,None
Q13319,Enzyme
Q13042,None
Q08722,None
Q99459,TF
O94921,Kinase
Q15131,Kinase
Q4KMG0,None
P13688,None
P42773,Enzyme
P40198,None
C9J3I9,None
A6NFR6,None
P53567,TF
Q02224,None
Q8N111,None
Q9BXF3,Epigenetic
Q92674,None
Q8TAP6,None
Q8N2Z9,None
P27544,Enzyme
Q8IW35,None
Q5EE01,None
A5D8W1,None
Q9H8X3,None
P0C7V0,None
Q5T5N4,None
Q8N319,None
Q5I0X4,None
Q5SQH8,None
Q5JU67,None
Q13191,Enzyme
Q5U5Z8,Enzyme
A4D256,Enzyme
Q5VU57,Enzyme
P0C7I6,None
A6NGH7,None
Q96MF4,None
Q8NCU1,None
Q6ZUS6,None
Q6P1S2,None
Q1T7F1,None
Q6PII3,None
Q96MW1,None
Q96A33,None
Q96M83,None
Q9UF02,IC
P24385,None
P20273,None
P30203,None
P21926,None
Q9BXL8,None
Q00532,Kinase
Q15078,Enzyme
Q9H305,TF
P51861,None
F2Z3F1,None
Q7Z692,None
Q9Y6F7,Epigenetic
Q6UY09,None
Q9UKY7,None
Q96GV9,None
Q8N9R6,None
Q96T59,None
Q6UWT4,None
Q8TEP8,None
Q9NYQ7,GPCR
P08218,Enzyme
Q5SZQ8,None
Q96G23,TF
Q9HA82,TF
Q96GE4,None
Q9NSP4,None
P00450,None
Q6UWU4,None
Q15038,None
Q30KQ9,None
Q30KQ4,None
Q9H1M4,None
Q9NR28,None
Q30KP8,None
P59894,None
Q9NXF7,None
A8MYV0,None
Q92564,None
O95865,Enzyme
Q16531,None
P59665,None
Q92771,Enzyme
O75398,TF
Q01524,None
O15523,Enzyme
Q5VZ89,None
P00367,Enzyme
Q8N688,None
Q8WVC6,Enzyme
Q9BVC3,None
O15075,Kinase
Q9C098,Kinase
Q9BTE7,None
Q96HY6,None
A6NHG4,Enzyme
Q8WXF8,None
Q8IV53,None
Q8NCG7,Enzyme
Q53GQ0,Enzyme
A0PJE2,Enzyme
Q14147,Enzyme
Q9BTZ2,Enzyme
Q96C10,Enzyme
Q9Y2E4,None
Q155Q3,None
Q9Y2G8,None
Q9NVM6,None
Q9NR30,Enzyme
Q8NHQ9,Enzyme
Q9NTK1,None
P15924,None
Q6ZPD8,Enzyme
Q86XP1,Kinase
P52824,Kinase
Q7Z5J1,Enzyme
P14061,Enzyme
P49366,Enzyme
O14521,Enzyme
Q92506,Enzyme
O60832,None
Q96F81,None
O95057,Enzyme
Q05329,Enzyme
Q8IXT1,None
Q8NEL9,Enzyme
Q8IY21,Enzyme
Q9GZR7,Enzyme
Q16698,Enzyme
Q9Y2R4,Enzyme
Q86TM3,Enzyme
Q8TDD1,Enzyme
O00571,Enzyme
Q5T1V6,Enzyme
Q8NBQ5,Enzyme
Q9UBM7,Enzyme
Q7L2E3,Enzyme
Q8TF46,Enzyme
Q9Y394,Enzyme
Q9UPY3,Enzyme
Q6P158,Enzyme
P56937,Enzyme
Q9NVH1,None
Q96LL9,None
Q6Y2X3,None
Q9Y5T4,None
Q9UBS4,None
P56177,TF
P11532,None
Q6E0U4,None
Q6ZN54,None
O43583,None
Q6IQ26,None
Q5TB30,None
Q9GZP9,None
Q96Q80,None
Q07507,None
Q9BSY9,Enzyme
P60981,None
P49619,Enzyme
O75912,Enzyme
P80365,Enzyme
P09417,Enzyme
Q01459,Enzyme
O60610,None
Q14562,Enzyme
O60231,Enzyme
O95661,Enzyme
Q9NSV4,None
Q9NX36,None
O75165,None
Q9NRI5,None
Q9H819,None
Q96HU8,Enzyme
Q9UBP4,None
Q6UY11,None
Q13316,None
Q9UHG0,None
P19113,Enzyme
Q96GG9,None
Q96C86,Enzyme
Q9H295,None
O00399,None
Q9NUU7,Enzyme
Q9BW61,None
Q9UHL0,Enzyme
Q8N8A6,Enzyme
Q96FC9,Enzyme
Q9NUL7,Enzyme
Q9NVP1,Enzyme
Q8IWF6,None
O95424,None
Q7L5Y6,None
O00273,None
P23743,Kinase
Q9BY27,None
Q6IED9,Enzyme
O75907,Enzyme
Q5KSL6,Enzyme
Q13574,Enzyme
Q9Y4D2,Enzyme
P51659,None
Q6PJP8,None
Q9H816,Enzyme
Q8WTU0,None
P59666,None
Q9HBH1,Enzyme
Q05D60,None
Q14129,None
O43323,None
Q86SQ9,Enzyme
Q9BPX1,Enzyme
Q9BPW9,Enzyme
Q7Z478,Enzyme
Q96SL1,None
Q9BTC0,Epigenetic
O14490,None
Q9Y238,None
Q9NP97,None
O75618,None
P60022,None
Q7L014,Enzyme
Q9H4E7,None
P35659,None
Q96QD5,None
P17661,None
Q96PD7,Enzyme
Q9Y6T7,Enzyme
Q16760,Enzyme
P52429,Enzyme
Q8WYQ5,None
Q15392,Enzyme
Q9UQ10,Enzyme
Q6UX07,Enzyme
Q9NZQ0,None
Q9NYJ7,None
Q6ZS02,None
Q7Z5P4,Enzyme
P28845,Enzyme
Q96LJ7,Enzyme
Q13268,Enzyme
Q96HY7,Enzyme
Q969H9,None
Q08211,Enzyme
Q5F1R6,None
P28068,None
Q15398,None
Q8TDJ6,None
Q86SJ6,None
P47869,IC
Q14574,None
Q9UL01,Enzyme
Q02413,None
Q9NZW4,None
Q6ZMT9,None
Q86UW9,Enzyme
P60520,None
Q9BV47,Enzyme
Q5VZP5,Enzyme
Q8N9I9,Enzyme
Q9NRD8,Enzyme
Q99956,Enzyme
O75319,Enzyme
Q5VZB9,TF
O60479,TF
Q12959,None
Q92796,None
Q9UGP5,Enzyme
Q9NP87,Enzyme
Q9HCG7,Enzyme
Q9H227,Enzyme
P62873,None
P62879,None
O14972,None
Q08554,None
Q9H410,None
Q14126,None
Q16445,IC
P55265,Enzyme
P47870,IC
Q9Y4J8,None
Q8WVR3,None
Q9BRJ6,None
Q8NEG2,None
Q6P1X6,None
P00746,Enzyme
Q9H7B7,None
Q8TDX6,Enzyme
Q6ZTR5,None
Q8N0T1,None
Q8WUX9,None
Q16643,None
Q9Y295,None
P55039,None
A6NNA5,TF
Q6PGQ1,None
Q13474,None
Q6IAN0,Enzyme
A6NNS2,Enzyme
Q6B8I1,Enzyme
P09669,Enzyme
Q7Z4L0,Enzyme
P24311,Enzyme
P15954,Enzyme
Q96LL3,None
Q96MC5,None
O43303,None
Q96GX8,None
Q9HB55,Enzyme
P22792,Enzyme
Q6FI81,None
A6NMK7,None
P11712,None
P33260,None
O75822,None
Q0P5P2,None
Q96SM3,Enzyme
O95639,None
A5YM72,Enzyme
Q8IVE0,None
Q9NUG4,None
Q8IY42,None
Q9C0I3,None
Q504U0,None
Q5T2Q4,None
O14618,Enzyme
P86790,None
Q9UQ88,Kinase
Q9NNX6,None
Q13740,None
P06127,None
P11836,None
Q99467,None
P15391,None
P11912,None
P25063,None
Q99741,None
Q7L3B6,None
Q96GN5,None
Q9BWT1,None
Q00537,Kinase
Q01850,None
P49918,Enzyme
P06731,None
P40199,None
Q5VT06,None
Q7L2Z9,None
P49454,None
O95319,None
Q9P209,None
Q8IU89,TF
Q96H22,None
Q9Y6K0,Enzyme
Q8NHU2,None
Q9BYV8,None
Q9UEE9,None
Q9C0F1,None
Q8N0U6,None
Q8TBY9,None
Q96N11,None
Q8N865,None
P0CG37,None
A4D0T2,None
Q96G28,None
Q9H7E9,None
Q8NAV2,None
Q8WUX2,Enzyme
Q6NUI6,None
Q9BSY4,None
Q5T1J5,None
Q9BUX1,Enzyme
Q6V0L0,None
Q96FN4,None
Q6JBY9,None
Q2M2W7,None
Q96N68,None
Q96L46,None
Q02928,None
P53674,None
Q68CJ9,TF
Q6PCB8,None
I3L1E1,None
A0A1B0GUS0,None
Q16526,None
Q6PB30,None
P22914,None
O94886,IC
Q5T3F8,IC
P0DML3,None
Q9NPA0,None
Q96AY2,Enzyme
P09919,None
Q96PZ7,None
P54852,None
Q7Z407,None
Q9BVV8,None
Q6RUI8,None
K7EIQ3,None
Q9BT78,None
Q04741,TF
Q04743,TF
Q902F9,None
Q9NRM1,None
O95196,None
Q96NT0,None
Q6ZP82,None
Q17RM4,None
Q9Y3M2,None
Q6ZUS5,None
Q9P0B6,None
P0C7W6,None
Q9NQR7,None
Q9H0W5,None
Q0P6D6,None
Q96LX7,None
Q6NSX1,None
Q8IV32,None
Q4VC31,None
O95273,None
P10147,None
Q9UBN1,IC
Q6W349,None
A0A0K2S4Q6,None
Q6ZRC1,None
C9J302,None
P04234,None
Q9Y5K6,None
P07766,None
P06729,None
P08962,None
A6NJW9,None
P10966,None
P34810,None
P06126,None
P28906,None
Q9BZW8,None
P33681,None
Q69YH5,None
P26842,None
Q96JP9,None
Q9H5V8,None
Q9HBB8,None
Q8IZL9,Kinase
Q49AH0,None
P46527,Enzyme
Q6ZU80,None
P42772,Enzyme
Q15744,TF
A6NGY3,None
Q8N8D9,None
Q9UHN6,None
Q6P2H3,None
Q7Z4U5,None
B2RV13,None
Q7Z4T9,None
Q96MT8,None
P00751,None
Q6ZTY9,None
A4D174,None
Q6P9F0,None
Q9H2F9,None
Q9UFE4,None
I3L3R5,None
Q8TD31,None
P53701,Enzyme
Q8N1B3,None
Q99616,None
O60583,None
P46092,GPCR
P24863,None
Q96S94,None
P29017,None
P0C7X3,None
P16671,None
O00311,Kinase
P60033,None
Q6ZTQ4,None
P13987,None
O14735,Enzyme
Q9BWU1,Kinase
Q8N960,None
O94986,None
Q14002,None
P49715,TF
Q8IYX8,None
P0DPI3,None
P08217,Enzyme
B2RD01,None
Q13352,None
Q9GZU0,None
O95813,None
Q8NDM7,None
A6NKQ9,None
